"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18827","ONEVIEW-775: Verify duplicate addition is prevented visually @regression","chromium","Fri May 01 14:40:32 IST 2026","passed","Fri May 01 14:40:51 IST 2026","Phase-2 > Add Cards > Add Cards - Regression @regression","regressionPhase-2\AddCards.spec.js","",""
"","14201","ONEVIEW-733: Verify ""Fixed"" badge displayed on fixed cards in Edit Mode @regression","chromium","Fri May 01 14:45:46 IST 2026","passed","Fri May 01 14:46:00 IST 2026","Phase-2 > Edit Layout > Edit Layout - Regression @regression","regressionPhase-2\EditLayout.spec.js","",""
"","21161","ONEVIEW-830: Verify Preferred Layout persists across login sessions @regression","chromium","Fri May 01 14:48:30 IST 2026","passed","Fri May 01 14:48:51 IST 2026","Phase-2 > Preferred Layout UI > Regression - Preferred Layout UI","regressionPhase-2\PreferredLayout.spec.js","",""
"","12862","ONEVIEW-811: Verify saved Preferred Layout persists after re-login @smoke","smoke","Fri May 01 14:38:45 IST 2026","skipped","Fri May 01 14:38:58 IST 2026","Phase-2 > Preferred Layout UI > Smoke - Preferred Layout UI","smokePhase-2\PreferredLayout.spec.js","",""
"","19292","ONEVIEW-792: Verify removed card remains available for re-adding @regression","chromium","Fri May 01 14:50:12 IST 2026","passed","Fri May 01 14:50:31 IST 2026","Phase-2 > Remove Cards > Remove Cards - Regression @regression","regressionPhase-2\RemoveCards.spec.js","",""
"","13633","ONEVIEW-852: Verify drawer remains open after adding a card @smoke","smoke","Fri May 01 14:35:24 IST 2026","passed","Fri May 01 14:35:38 IST 2026","Phase-2 > Add Cards > Smoke - Add Cards","smokePhase-2\AddCards.spec.js","",""
"","19595","ONEVIEW-793: Verify multiple cards can be removed sequentially @regression","chromium","Fri May 01 14:50:13 IST 2026","passed","Fri May 01 14:50:32 IST 2026","Phase-2 > Remove Cards > Remove Cards - Regression @regression","regressionPhase-2\RemoveCards.spec.js","",""
"","12420","ONEVIEW-844: Verify all 5 layout toggle icons are visible in Edit Mode @smoke","smoke","Fri May 01 14:36:37 IST 2026","passed","Fri May 01 14:36:50 IST 2026","Phase-2 > Edit Layout > Smoke - Edit Layout","smokePhase-2\EditLayout.spec.js","",""
"","19686","ONEVIEW-769: Verify card list item layout with name, description, and action button @regression","chromium","Fri May 01 14:40:12 IST 2026","passed","Fri May 01 14:40:31 IST 2026","Phase-2 > Add Cards > Add Cards - Regression @regression","regressionPhase-2\AddCards.spec.js","",""
"","20053","ONEVIEW-781: Verify added cards persist visually after Save and re-login @regression","chromium","Fri May 01 14:41:04 IST 2026","passed","Fri May 01 14:41:24 IST 2026","Phase-2 > Add Cards > Add Cards - Regression @regression","regressionPhase-2\AddCards.spec.js","",""
"","14715","ONEVIEW-730: Verify Add Cards drawer search bar UI @regression","chromium","Fri May 01 14:45:31 IST 2026","passed","Fri May 01 14:45:46 IST 2026","Phase-2 > Edit Layout > Edit Layout - Regression @regression","regressionPhase-2\EditLayout.spec.js","",""
"","17749","ONEVIEW-762: Verify drawer open and close animations @regression","chromium","Fri May 01 14:43:18 IST 2026","passed","Fri May 01 14:43:36 IST 2026","Phase-2 > Drawer Component > Drawer Component - Regression @regression","regressionPhase-2\DrawerComponent.spec.js","",""
"","17349","ONEVIEW-760: Verify fixed cards are excluded from the drawer @regression","chromium","Fri May 01 14:43:18 IST 2026","passed","Fri May 01 14:43:35 IST 2026","Phase-2 > Drawer Component > Drawer Component - Regression @regression","regressionPhase-2\DrawerComponent.spec.js","",""
"","13569","ONEVIEW-854: Verify Remove button changes back to Add after removing @smoke","smoke","Fri May 01 14:39:33 IST 2026","passed","Fri May 01 14:39:46 IST 2026","Phase-2 > Remove Cards > Smoke - Remove Cards","smokePhase-2\RemoveCards.spec.js","",""
"","19630","ONEVIEW-749: Verify all configurable cards are listed in the drawer @regression","chromium","Fri May 01 14:42:22 IST 2026","passed","Fri May 01 14:42:42 IST 2026","Phase-2 > Drawer Component > Drawer Component - Regression @regression","regressionPhase-2\DrawerComponent.spec.js","",""
"","15285","ONEVIEW-722: Verify dashboard layout responsiveness across supported screen sizes @regression","chromium","Fri May 01 14:45:00 IST 2026","passed","Fri May 01 14:45:15 IST 2026","Phase-2 > Edit Layout > Edit Layout - Regression @regression","regressionPhase-2\EditLayout.spec.js","",""
"","15723","ONEVIEW-763: Verify drawer typography and color consistency @regression","chromium","Fri May 01 14:43:22 IST 2026","passed","Fri May 01 14:43:38 IST 2026","Phase-2 > Drawer Component > Drawer Component - Regression @regression","regressionPhase-2\DrawerComponent.spec.js","",""
"","1296","ONEVIEW-841: Verify drag-and-drop card order persists after Save @regression","chromium","Fri May 01 14:41:45 IST 2026","skipped","Fri May 01 14:41:46 IST 2026","Phase-2 > Drag & Drop > Drag & Drop - Regression @regression","regressionPhase-2\DragAndDrop.spec.js","",""
"","1090","ONEVIEW-839: Verify card can be dragged and dropped to a different column @regression","chromium","Fri May 01 14:41:45 IST 2026","skipped","Fri May 01 14:41:46 IST 2026","Phase-2 > Drag & Drop > Drag & Drop - Regression @regression","regressionPhase-2\DragAndDrop.spec.js","",""
"","22035","ONEVIEW-798: Verify removing all configurable cards leaves only fixed cards @regression","chromium","Fri May 01 14:50:50 IST 2026","passed","Fri May 01 14:51:12 IST 2026","Phase-2 > Remove Cards > Remove Cards - Regression @regression","regressionPhase-2\RemoveCards.spec.js","",""
"","15373","ONEVIEW-716: Verify Add Cards side drawer UI @regression","chromium","Fri May 01 14:44:42 IST 2026","passed","Fri May 01 14:44:57 IST 2026","Phase-2 > Edit Layout > Edit Layout - Regression @regression","regressionPhase-2\EditLayout.spec.js","",""
"","1176","ONEVIEW-838: Verify drag handle cursor appears on configurable cards in Edit Mode @regression","chromium","Fri May 01 14:41:45 IST 2026","skipped","Fri May 01 14:41:46 IST 2026","Phase-2 > Drag & Drop > Drag & Drop - Regression @regression","regressionPhase-2\DragAndDrop.spec.js","",""
"","17703","ONEVIEW-810: Verify Restore Preferred Layout option and confirmation @smoke","smoke","Fri May 01 14:38:27 IST 2026","passed","Fri May 01 14:38:45 IST 2026","Phase-2 > Preferred Layout UI > Smoke - Preferred Layout UI","smokePhase-2\PreferredLayout.spec.js","",""
"","20773","ONEVIEW-786: Verify Remove button visibility for already-added cards @regression","chromium","Fri May 01 14:49:51 IST 2026","passed","Fri May 01 14:50:12 IST 2026","Phase-2 > Remove Cards > Remove Cards - Regression @regression","regressionPhase-2\RemoveCards.spec.js","",""
"","25483","ONEVIEW-735: Verify Restore Preferred Layout confirmation popup exact content @regression","chromium","Fri May 01 14:45:59 IST 2026","passed","Fri May 01 14:46:24 IST 2026","Phase-2 > Edit Layout > Edit Layout - Regression @regression","regressionPhase-2\EditLayout.spec.js","",""
"","17838","ONEVIEW-835: Verify first-time user sees Default Layout with no Preferred Layout saved @regression","chromium","Fri May 01 14:48:59 IST 2026","passed","Fri May 01 14:49:17 IST 2026","Phase-2 > Preferred Layout UI > Regression - Preferred Layout UI","regressionPhase-2\PreferredLayout.spec.js","",""
"","24222","ONEVIEW-822: Verify Restore Default Layout confirmation popup content @regression","chromium","Fri May 01 14:47:37 IST 2026","passed","Fri May 01 14:48:02 IST 2026","Phase-2 > Preferred Layout UI > Regression - Preferred Layout UI","regressionPhase-2\PreferredLayout.spec.js","",""
"","19173","ONEVIEW-754: Verify button state toggle on Remove action @regression","chromium","Fri May 01 14:42:42 IST 2026","passed","Fri May 01 14:43:01 IST 2026","Phase-2 > Drawer Component > Drawer Component - Regression @regression","regressionPhase-2\DrawerComponent.spec.js","",""
"","19892","ONEVIEW-753: Verify button state toggle on Add action @regression","chromium","Fri May 01 14:42:41 IST 2026","passed","Fri May 01 14:43:01 IST 2026","Phase-2 > Drawer Component > Drawer Component - Regression @regression","regressionPhase-2\DrawerComponent.spec.js","",""
"","17962","ONEVIEW-741: Verify star/favorite icon does not display on dashboard cards @regression","chromium","Fri May 01 14:46:17 IST 2026","passed","Fri May 01 14:46:35 IST 2026","Phase-2 > Edit Layout > Edit Layout - Regression @regression","regressionPhase-2\EditLayout.spec.js","",""
"","26080","ONEVIEW-734: Verify Restore Default Layout confirmation popup exact content @regression","chromium","Fri May 01 14:45:46 IST 2026","passed","Fri May 01 14:46:12 IST 2026","Phase-2 > Edit Layout > Edit Layout - Regression @regression","regressionPhase-2\EditLayout.spec.js","",""
"","24075","ONEVIEW-820: Verify Restore Layout dropdown shows only Default Layout when Preferred Layout is active @regression","chromium","Fri May 01 14:47:19 IST 2026","passed","Fri May 01 14:47:43 IST 2026","Phase-2 > Preferred Layout UI > Regression - Preferred Layout UI","regressionPhase-2\PreferredLayout.spec.js","",""
"","16641","ONEVIEW-770: Verify all configurable cards are listed in the panel @regression","chromium","Fri May 01 14:40:13 IST 2026","passed","Fri May 01 14:40:30 IST 2026","Phase-2 > Add Cards > Add Cards - Regression @regression","regressionPhase-2\AddCards.spec.js","",""
"","13767","ONEVIEW-737: Verify Save button disabled state when no changes made @regression","chromium","Fri May 01 14:46:00 IST 2026","passed","Fri May 01 14:46:14 IST 2026","Phase-2 > Edit Layout > Edit Layout - Regression @regression","regressionPhase-2\EditLayout.spec.js","",""
"","16661","ONEVIEW-773: Verify newly added card appears in leftmost column @regression","chromium","Fri May 01 14:40:30 IST 2026","passed","Fri May 01 14:40:47 IST 2026","Phase-2 > Add Cards > Add Cards - Regression @regression","regressionPhase-2\AddCards.spec.js","",""
"","15492","ONEVIEW-779: Verify panel remains open after adding a card @regression","chromium","Fri May 01 14:40:51 IST 2026","passed","Fri May 01 14:41:06 IST 2026","Phase-2 > Add Cards > Add Cards - Regression @regression","regressionPhase-2\AddCards.spec.js","",""
"","16398","ONEVIEW-731: Verify card list item layout in Add Cards drawer @regression","chromium","Fri May 01 14:45:44 IST 2026","passed","Fri May 01 14:46:00 IST 2026","Phase-2 > Edit Layout > Edit Layout - Regression @regression","regressionPhase-2\EditLayout.spec.js","",""
